Distance,Theater,Movie Name,Duration,User Rating,Metascore,Rank,Showtime
Within 20 miles ,Century Cinema 16,A Journal for Jordan (2021),131 min,-/10,None,<500,10:05am 1:15pm 4:25 7:35 10:45 
Within 20 miles ,Century Cinema 16,American Underdog (2021),112 min,-/10,None,90,11:05am 1:55pm 4:45 7:45 10:35 
Within 20 miles ,Century Cinema 16,Encanto (2021),102 min,7.6/10,75,21,10:00am 1:00pm 4:05 7:10 10:00 
Within 20 miles ,Century Cinema 16,Licorice Pizza (2021),133 min,8.4/10,91,14,10:00am 1:10pm 4:20 7:35 10:45 
Within 20 miles ,Century Cinema 16,Nightmare Alley (2021),150 min,7.5/10,68,11,3:35pm 10:40 
Within 20 miles ,Century Cinema 16,Pushpa: The Rise - Part 1 (2021),179 min,8.3/10,None,<500,8:40pm 
Within 20 miles ,Century Cinema 16,Shyam Singha Roy (2021),155 min,-/10,None,>1000,2:30pm 10:20 
Within 20 miles ,Century Cinema 16,Sing 2 (2021),112 min,7.4/10,None,40,10:15am 11:45 1:15pm 4:15 5:45 7:15 10:15 2:45pm 
Within 20 miles ,Century Cinema 16,Spider-Man: No Way Home (2021),148 min,9/10,71,1,9:45am 10:35 11:05 11:50 12:40pm 1:20 2:10 2:35 3:25 4:10 4:55 5:45 6:10 7:50 8:30 9:20 9:45 10:35 7:00pm 
Within 20 miles ,Century Cinema 16,The King's Man (2021),131 min,6.9/10,None,26,10:10am 1:20pm 4:30 7:40 10:50 
Within 20 miles ,Century Cinema 16,The Matrix Resurrections (2021),148 min,6.1/10,65,4,10:30am 12:30pm 2:00 4:00 5:30 7:30 9:00 11:00 
Within 20 miles ,Century Cinema 16,West Side Story (2021),156 min,7.9/10,85,3,12:00pm 7:05 
Within 20 miles ,Ciné Lounge Fremont 7,'83 (2021),162 min,5.9/10,None,>1000,11:45am 1:00pm 2:30 3:15 4:15 5:45 6:30 9:00 9:45 
Within 20 miles ,Ciné Lounge Fremont 7,Chandigarh Kare Aashiqui (2021),117 min,7.2/10,None,<500,11:45am 
Within 20 miles ,Ciné Lounge Fremont 7,Pushpa: The Rise - Part 1 (2021),179 min,8.3/10,None,<500,11:45am 3:15pm 6:45 
Within 20 miles ,Ciné Lounge Fremont 7,Shyam Singha Roy (2021),155 min,-/10,None,>1000,12:45pm 3:50 7:00 10:05 
Within 20 miles ,Ciné Lounge Fremont 7,Spider-Man: No Way Home (2021),148 min,9/10,71,1,11:30am 12:20pm 2:30 5:30 8:30 
Within 20 miles ,Landmark's Aquarius Theatre,Licorice Pizza (2021),133 min,8.4/10,91,14,1:35pm 4:30 7:35 10:15 
Within 20 miles ,Landmark's Aquarius Theatre,Nightmare Alley (2021),150 min,7.5/10,68,11,1:00pm 4:00 7:00 10:00 
Within 20 miles ,Mountain View ShowPlace ICON at San Antonio Centre,Licorice Pizza (2021),133 min,8.4/10,91,14,1:10pm 4:25 7:30 10:30 
Within 20 miles ,Mountain View ShowPlace ICON at San Antonio Centre,Sing 2 (2021),112 min,7.4/10,None,40,11:20am 2:00pm 4:40 7:20 10:00 
Within 20 miles ,Mountain View ShowPlace ICON at San Antonio Centre,Spider-Man: No Way Home (2021),148 min,9/10,71,1,11:00am 12:00pm 2:20 3:25 5:40 6:50 9:00 10:15 
Within 20 miles ,Mountain View ShowPlace ICON at San Antonio Centre,The King's Man (2021),131 min,6.9/10,None,26,1:15pm 4:30 7:35 10:30 
Within 20 miles ,Mountain View ShowPlace ICON at San Antonio Centre,The Matrix Resurrections (2021),148 min,6.1/10,65,4,11:30am 12:30pm 2:45 3:45 6:00 7:00 9:20 10:20 
Within 20 miles ,Mountain View ShowPlace ICON at San Antonio Centre,West Side Story (2021),156 min,7.9/10,85,3,11:40am 3:05pm 6:30 9:55 
